date,stock_price,strike_price,time_to_maturity,option_type,theoretical_price,market_price,bid_price,ask_price,implied_volatility,volume,open_interest,risk_free_rate
2023-01-01,100.0,90,0.08,call,11.0521,10.9426,10.8321,11.0531,0.3595,51,357,0.05
2023-01-01,100.0,90,0.08,put,0.0974,0.0969,0.0959,0.0978,0.2217,45,540,0.05
2023-01-01,100.0,95,0.08,call,6.7005,6.6745,6.6075,6.7415,0.3048,59,944,0.05
2023-01-01,100.0,95,0.08,put,0.5178,0.509,0.5038,0.5141,0.2057,50,550,0.05
2023-01-01,100.0,100,0.08,call,3.0857,3.0475,3.0167,3.0784,0.2559,60,720,0.05
2023-01-01,100.0,100,0.08,put,1.8781,1.8904,1.8716,1.9091,0.184,52,676,0.05
2023-01-01,100.0,105,0.08,call,1.6938,1.6968,1.6798,1.7137,0.3051,53,689,0.05
2023-01-01,100.0,105,0.08,put,5.1964,5.1273,5.0753,5.1792,0.1892,47,329,0.05
2023-01-01,100.0,110,0.08,call,0.3366,0.3394,0.336,0.3428,0.2487,37,407,0.05
2023-01-01,100.0,110,0.08,put,10.5193,10.576,10.4708,10.6812,0.3448,59,531,0.05
2023-01-01,100.0,90,0.25,call,11.458,11.7713,11.6567,11.8859,0.1751,47,799,0.05
2023-01-01,100.0,90,0.25,put,1.1489,1.1809,1.1694,1.1924,0.2547,53,848,0.05
2023-01-01,100.0,95,0.25,call,8.5078,8.4888,8.4037,8.5739,0.2484,48,336,0.05
2023-01-01,100.0,95,0.25,put,2.9682,2.94,2.9103,2.9697,0.2857,44,264,0.05
2023-01-01,100.0,100,0.25,call,5.0112,5.0467,4.9966,5.0969,0.2202,54,648,0.05
2023-01-01,100.0,100,0.25,put,4.4472,4.4755,4.431,4.5199,0.2546,47,658,0.05
2023-01-01,100.0,105,0.25,call,2.4018,2.4104,2.3864,2.4344,0.196,54,594,0.05
2023-01-01,100.0,105,0.25,put,7.6827,7.7523,7.6754,7.8291,0.278,56,952,0.05
2023-01-01,100.0,110,0.25,call,1.4922,1.4745,1.4596,1.4894,0.2198,35,630,0.05
2023-01-01,100.0,110,0.25,put,11.0346,10.9998,10.8895,11.1102,0.2747,45,495,0.05
2023-01-01,100.0,90,0.5,call,15.2257,15.043,14.8908,15.1953,0.2879,42,798,0.05
2023-01-01,100.0,90,0.5,put,3.4843,3.4531,3.4183,3.488,0.3101,47,752,0.05
2023-01-01,100.0,95,0.5,call,10.6676,10.6625,10.5559,10.7692,0.2333,57,1026,0.05
2023-01-01,100.0,95,0.5,put,4.3764,4.4702,4.4265,4.514,0.2759,50,250,0.05
2023-01-01,100.0,100,0.5,call,9.1314,9.0119,8.9206,9.1033,0.2817,55,770,0.05
2023-01-01,100.0,100,0.5,put,3.0708,3.0471,3.0164,3.0778,0.1505,42,252,0.05
2023-01-01,100.0,105,0.5,call,8.3311,8.3045,8.2212,8.3878,0.3331,52,988,0.05
2023-01-01,100.0,105,0.5,put,8.1078,8.242,8.1609,8.3231,0.2398,41,697,0.05
2023-01-01,100.0,110,0.5,call,3.6081,3.5996,3.5635,3.6356,0.2269,37,407,0.05
2023-01-01,100.0,110,0.5,put,14.0776,14.0099,13.8691,14.1507,0.3436,51,510,0.05
2023-01-02,100.79,90,0.08,call,11.1546,11.1055,10.994,11.217,0.1453,44,616,0.05
2023-01-02,100.79,90,0.08,put,0.1543,0.1592,0.1576,0.1607,0.2565,50,550,0.05
2023-01-02,100.79,95,0.08,call,6.9047,6.9857,6.9166,7.0547,0.2542,53,265,0.05
2023-01-02,100.79,95,0.08,put,0.9054,0.9247,0.9156,0.9337,0.2766,63,315,0.05
2023-01-02,100.79,100,0.08,call,2.3841,2.3568,2.3329,2.3806,0.1524,45,810,0.05
2023-01-02,100.79,100,0.08,put,2.5996,2.587,2.561,2.613,0.2796,46,644,0.05
2023-01-02,100.79,105,0.08,call,1.4929,1.4744,1.4594,1.4893,0.2604,49,294,0.05
2023-01-02,100.79,105,0.08,put,4.7697,4.8127,4.765,4.8604,0.2088,55,715,0.05
2023-01-02,100.79,110,0.08,call,0.529,0.5172,0.5119,0.5225,0.2654,50,350,0.05
2023-01-02,100.79,110,0.08,put,9.6814,9.5084,9.4116,9.6052,0.3195,54,972,0.05
2023-01-02,100.79,90,0.25,call,12.2916,12.103,11.9801,12.226,0.189,50,350,0.05
2023-01-02,100.79,90,0.25,put,1.1866,1.2021,1.1902,1.214,0.2682,43,215,0.05
2023-01-02,100.79,95,0.25,call,9.128,9.0904,8.9991,9.1817,0.2511,66,528,0.05
2023-01-02,100.79,95,0.25,put,2.9677,3.0245,2.9948,3.0542,0.2992,48,624,0.05
2023-01-02,100.79,100,0.25,call,7.1017,6.9994,6.9284,7.0704,0.3033,65,715,0.05
2023-01-02,100.79,100,0.25,put,4.2849,4.2843,4.2415,4.3272,0.2635,35,315,0.05
2023-01-02,100.79,105,0.25,call,2.8895,2.8989,2.87,2.9278,0.2051,54,270,0.05
2023-01-02,100.79,105,0.25,put,8.3485,8.3124,8.2289,8.3958,0.3338,57,513,0.05
2023-01-02,100.79,110,0.25,call,2.385,2.3473,2.3235,2.3712,0.2602,50,500,0.05
2023-01-02,100.79,110,0.25,put,10.1161,10.0434,9.9423,10.1446,0.254,54,810,0.05
2023-01-02,100.79,90,0.5,call,14.8678,14.7501,14.6014,14.8988,0.2393,45,270,0.05
2023-01-02,100.79,90,0.5,put,1.0163,1.0094,0.9992,1.0196,0.1914,37,481,0.05
2023-01-02,100.79,95,0.5,call,11.579,11.6763,11.5605,11.7921,0.2476,43,688,0.05
2023-01-02,100.79,95,0.5,put,4.9007,4.9345,4.8855,4.9835,0.3067,36,288,0.05
2023-01-02,100.79,100,0.5,call,8.1867,8.1292,8.0474,8.2111,0.2299,47,705,0.05
2023-01-02,100.79,100,0.5,put,4.154,4.1494,4.1078,4.1909,0.2016,52,832,0.05
2023-01-02,100.79,105,0.5,call,7.7651,7.6712,7.5936,7.7489,0.2988,43,387,0.05
2023-01-02,100.79,105,0.5,put,10.2504,10.2854,10.1829,10.3879,0.3295,45,720,0.05
2023-01-02,100.79,110,0.5,call,7.1481,7.1019,7.0304,7.1733,0.3438,47,611,0.05
2023-01-02,100.79,110,0.5,put,10.4728,10.5462,10.4414,10.6509,0.2298,57,627,0.05
2023-01-03,100.58,90,0.08,call,11.068,11.2229,11.1122,11.3336,0.2434,44,572,0.05
2023-01-03,100.58,90,0.08,put,0.0898,0.0897,0.0888,0.0906,0.2276,45,495,0.05
2023-01-03,100.58,95,0.08,call,7.205,7.2237,7.1516,7.2957,0.3119,50,450,0.05
2023-01-03,100.58,95,0.08,put,0.8565,0.851,0.8425,0.8596,0.2651,43,215,0.05
2023-01-03,100.58,100,0.08,call,4.0994,4.1044,4.0634,4.1453,0.3178,44,264,0.05
2023-01-03,100.58,100,0.08,put,2.6476,2.6257,2.5992,2.6522,0.2757,54,540,0.05
2023-01-03,100.58,105,0.08,call,1.1727,1.1666,1.1549,1.1784,0.2348,38,190,0.05
2023-01-03,100.58,105,0.08,put,5.7757,5.813,5.7552,5.8708,0.2946,54,540,0.05
2023-01-03,100.58,110,0.08,call,0.8659,0.8677,0.859,0.8763,0.3184,50,950,0.05
2023-01-03,100.58,110,0.08,put,9.4024,9.4857,9.3916,9.5797,0.2525,45,540,0.05
2023-01-03,100.58,90,0.25,call,12.6249,12.5916,12.4654,12.7179,0.2431,47,799,0.05
2023-01-03,100.58,90,0.25,put,1.3274,1.3048,1.2915,1.318,0.2767,46,690,0.05
2023-01-03,100.58,95,0.25,call,8.9092,8.7471,8.658,8.8362,0.2472,50,950,0.05
2023-01-03,100.58,95,0.25,put,2.9695,3.0174,2.9877,3.047,0.2957,42,546,0.05
2023-01-03,100.58,100,0.25,call,5.1352,5.132,5.0807,5.1834,0.2094,53,742,0.05
2023-01-03,100.58,100,0.25,put,5.0472,5.0783,5.0278,5.1287,0.2978,47,470,0.05
2023-01-03,100.58,105,0.25,call,3.1633,3.118,3.0863,3.1496,0.2236,47,799,0.05
2023-01-03,100.58,105,0.25,put,6.6091,6.5678,6.5017,6.6339,0.2404,49,588,0.05
2023-01-03,100.58,110,0.25,call,1.9115,1.9093,1.8902,1.9284,0.2363,55,935,0.05
2023-01-03,100.58,110,0.25,put,10.0084,10.0107,9.9107,10.1108,0.239,60,960,0.05
2023-01-03,100.58,90,0.5,call,15.2172,15.1219,14.9697,15.2741,0.2658,52,624,0.05
2023-01-03,100.58,90,0.5,put,0.3638,0.3652,0.3616,0.3688,0.1404,55,880,0.05
2023-01-03,100.58,95,0.5,call,10.5497,10.5362,10.4307,10.6417,0.2108,50,650,0.05
2023-01-03,100.58,95,0.5,put,2.4248,2.4061,2.3819,2.4304,0.2022,50,500,0.05
2023-01-03,100.58,100,0.5,call,9.3976,9.325,9.231,9.4189,0.2788,60,480,0.05
2023-01-03,100.58,100,0.5,put,5.0766,5.1448,5.094,5.1956,0.2325,50,500,0.05
2023-01-03,100.58,105,0.5,call,4.4188,4.4861,4.4419,4.5303,0.1846,48,624,0.05
2023-01-03,100.58,105,0.5,put,8.8631,8.9262,8.8375,9.0148,0.2769,52,780,0.05
2023-01-03,100.58,110,0.5,call,4.0558,4.0569,4.0163,4.0974,0.2355,42,420,0.05
2023-01-03,100.58,110,0.5,put,11.3266,11.3032,11.1899,11.4165,0.2564,57,1026,0.05
2023-01-04,101.62,90,0.08,call,11.9796,11.9855,11.8657,12.1053,0.1361,36,576,0.05
